Species,Spp_Name,common
LITLIT,Common periwinkle ,(Littorina littorea)
LITOBT,Smooth periwinkle ,(Littorina obtusata)
LITSAX,Rough periwinkle ,(Littorina saxatilis)
NUCLAP,Dogwhelk ,(Nucella lapillus)
TECTES,Limpet ,
