Species,Common,Spp_Name,Com_Sp
LITLIT,Common periwinkle,Littorina littorea,Common periwinkle (Littorina littorea)
LITOBT,Smooth periwinkle,Littorina obtusata,Smooth periwinkle (Littorina obtusata)
LITSAX,Rough periwinkle,Littorina saxatilis,Rough periwinkle (Littorina saxatilis)
NUCLAP,Dogwhelk,Nucella lapillus,Dogwhelk (Nucella lapillus)
TECTES,Limpet,Tectura testudinalis,Limpet (Tectura testudinalis)
CARMAE,Green Crab,Carcinus maenas,Green Crab (Carcinus maenas)
HEMISAN,Asian shore crab,Hemigrapsus sanguineus, Asian shore crab (Hemigrapsus sanguineus)
