"Site_Name","Site_Code","Loc_Name","Loc_Code"
"Acadia NP","ACAD","Bass Harbor","BASHAR"
"Acadia NP","ACAD","Little Hunter","LITHUN"
"Acadia NP","ACAD","Little Moose","LITMOO"
"Acadia NP","ACAD","Otter Point","OTTPOI"
"Acadia NP","ACAD","Schoodic Point","SCHPOI"
"Acadia NP","ACAD","Ship Harbor","SHIHAR"
"Boston Harbor NRA","BOHA","Calf Island","CALISL"
"Boston Harbor NRA","BOHA","Green Island","GREISL"
"Boston Harbor NRA","BOHA","Outer Brewster","OUTBRE"
