Spp_Name,Spp_Code,Common,Com_Sp
Strongylocentrotus droebachiensis,STRDRO,Green sea urchin,Green sea urchin (Strongylocentrotus droebachiensis)
Henricia sanguinolenta,HENSAN,Blood sea star,Blood sea star (Henricia sanguinolenta)
Asterias rubens,ASTRUB,Common sea star,Common sea star (Asterias rubens)
Asterias forbesii,ASTFOR,Northern sea star,Northern sea star (Asterias forbesii)
